#iteration,algo,#panel,#suggestion,distances,iteration_time,total_time,target_found,#generations,panel,si,ni
0,NewPanel,1,0,6.0/4.5/4.5/2.5/2.5/2.5/4.5/6.0/4.5/4.5/6.0/4.5,0.0067195892333984375,0.0067195892333984375,None,1,[0 0 1 1 1 1 0 1 1 1 1 2 0 0 0 0 0 1 1 1 1],[1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1.]
1,MAB,1,1,6.0/4.5/4.5/2.5/2.5/2.5/4.5/6.0/4.5/4.5/6.0/4.5,0.022409439086914062,0.0291290283203125,None,0,[0 0 1 1 1 1 0 1 1 1 1 2 0 0 0 0 0 1 1 1 1],[1. 1. 1. 1. 1. 1. 1.],[2. 1. 1. 1. 1. 1. 1.]
2,MAB,1,3,2.75/2.75/2.75/0.75/0.75/0.75/2.75/2.75/2.75/2.75/2.75/2.75,0.014309406280517578,0.04343843460083008,3,0,[1 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0],[1. 2. 1. 1. 1. 1. 1.],[2. 2. 1. 1. 1. 1. 1.]
3,NewPanel,2,0,4.5/4.5/6.0/4.5/6.0/4.5/4.5/6.0/2.5/2.5/2.5,0.023113250732421875,0.06655168533325195,None,1,[0 0 1 1 1 1 2 0 0 0 0 0 1 1 1 1 0 1 1 1 1],[1. 2. 1. 1. 1. 1. 1.],[2. 2. 1. 1. 1. 1. 1.]
4,MAB,2,1,4.25/4.75/5.75/4.75/5.75/4.25/4.25/5.75/2.25/2.25/2.75,0.009730815887451172,0.07628250122070312,None,0,[0 0 1 1 1 1 2 0 0 0 0 0 1 1 1 1 0 0 1 1 1],[1. 2. 1. 1. 1. 1. 1.],[2. 2. 2. 1. 1. 1. 1.]
5,MAB,2,2,4.0/4.5/5.5/4.5/5.5/4.5/4.0/5.5/2.5/2.0/2.5,0.02557969093322754,0.10186219215393066,None,0,[0 0 1 0 1 1 2 0 0 0 0 0 1 1 1 1 0 0 1 1 1],[1. 2. 1. 1. 1. 1. 1.],[2. 2. 2. 2. 1. 1. 1.]
6,MAB,2,3,3.75/4.25/5.25/4.25/5.25/4.25/3.75/5.25/2.25/1.75/2.25,0.025580167770385742,0.1274423599243164,None,0,[1 0 1 0 1 1 2 0 0 0 0 0 1 1 1 1 0 0 1 1 1],[1. 2. 1. 1. 1. 1. 1.],[2. 2. 2. 2. 2. 1. 1.]
7,MAB,2,4,3.5/4.0/5.0/4.0/5.0/4.0/3.5/5.0/2.0/1.5/2.0,0.009199380874633789,0.1366417407989502,None,0,[1 0 1 0 1 1 2 0 0 0 0 0 1 1 1 1 0 0 1 0 1],[1. 2. 1. 1. 1. 1. 1.],[2. 2. 2. 2. 2. 2. 1.]
8,MAB,2,5,3.25/4.25/4.75/4.25/4.75/3.75/3.25/4.75/1.75/1.25/2.25,0.02529287338256836,0.16193461418151855,None,0,[1 0 1 0 1 1 2 0 0 0 0 0 1 1 1 1 0 0 1 0 0],[1. 2. 1. 1. 1. 1. 1.],[2. 2. 2. 2. 2. 2. 2.]
9,MAB,2,6,2.5/4.0/4.0/4.0/4.0/4.0/2.5/4.0/2.0/0.5/2.0,0.008081912994384766,0.17001652717590332,None,0,[0 0 0 0 0 0 2 0 0 0 0 0 1 1 1 1 0 0 0 0 0],[1. 2. 1. 1. 1. 1. 1.],[2. 3. 2. 2. 2. 2. 2.]
10,MAB,2,7,2.5/4.0/4.0/4.0/4.0/2.0/0.5/2.0/4.0/2.5/4.0,0.008332967758178711,0.17834949493408203,None,0,[0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 2 0 0 0 0],[1. 2. 1. 1. 1. 1. 1.],[3. 3. 2. 2. 2. 2. 2.]
11,MAB,2,8,2.75/3.75/3.75/3.75/3.75/1.75/0.75/1.75/3.75/2.75/3.75,0.024272441864013672,0.2026219367980957,None,0,[0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 2 0 0 0 0],[1. 2. 1. 1. 1. 1. 1.],[3. 3. 3. 2. 2. 2. 2.]
12,MAB,2,9,3.0/3.5/3.5/3.5/3.5/1.5/1.0/1.5/3.5/3.0/3.5,0.008447647094726562,0.21106958389282227,None,0,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 2 0 0 0 0],[1. 2. 1. 1. 1. 1. 1.],[3. 3. 3. 3. 2. 2. 2.]
13,MAB,2,10,2.75/3.25/3.25/3.25/3.25/1.25/0.75/1.25/3.25/2.75/3.25,0.0249025821685791,0.23597216606140137,None,0,[1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 2 0 0 0 0],[1. 2. 1. 1. 1. 1. 1.],[3. 3. 3. 3. 3. 2. 2.]
14,MAB,2,12,2.5/3.0/3.0/3.0/3.0/1.0/0.5/1.0/3.0/2.5/3.0,0.008209228515625,0.24418139457702637,7,0,[1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0],[1. 2. 1. 1. 1. 2. 1.],[3. 3. 3. 3. 3. 3. 2.]
15,NewPanel,3,0,4.75/3.25/4.75/3.25/4.75/3.25/4.75/1.25/2.75/1.25,0.031098127365112305,0.27527952194213867,None,2,[1 0 1 1 1 1 2 0 0 0 0 0 0 0 0 0 0 1 1 1 1],[1. 2. 1. 1. 1. 2. 1.],[3. 3. 3. 3. 3. 3. 2.]
16,MAB,3,1,4.5/3.5/4.5/3.5/4.5/3.0/4.5/1.0/2.5/1.5,0.008754968643188477,0.28403449058532715,None,0,[1 0 1 1 1 1 2 0 0 0 0 0 0 0 0 0 0 1 1 1 0],[1. 2. 1. 1. 1. 2. 1.],[3. 3. 3. 3. 3. 3. 3.]
17,MAB,3,2,2.5/4.0/4.0/4.0/4.0/4.0/4.0/2.0/0.5/2.0,0.007885456085205078,0.2919199466705322,None,0,[0 0 0 0 0 0 2 0 0 0 0 0 1 1 1 1 0 0 0 0 0],[1. 2. 1. 1. 1. 2. 1.],[3. 4. 3. 3. 3. 3. 3.]
18,MAB,3,4,2.25/3.75/3.75/3.75/3.75/3.75/3.75/1.75/0.25/1.75,0.007729768753051758,0.299649715423584,10,0,[0 0 0 0 0 0 2 0 0 0 0 0 1 1 0 1 0 0 0 0 0],[1. 2. 1. 1. 1. 3. 1.],[3. 4. 3. 3. 3. 4. 3.]
19,NewPanel,4,0,2.5/2.5/2.5/4.5/4.5/6.0/4.5/6.0/4.5,0.013630390167236328,0.3132801055908203,None,9,[0 2 0 0 0 0 0 1 1 1 1 0 1 1 1 1 0 1 1 1 1],[1. 2. 1. 1. 1. 3. 1.],[3. 4. 3. 3. 3. 4. 3.]
20,MAB,4,1,2.25/2.25/2.25/4.25/4.25/5.75/4.25/5.75/4.25,0.009096384048461914,0.3223764896392822,None,0,[0 2 0 0 0 0 0 1 1 1 1 0 1 1 0 1 0 1 1 1 1],[1. 2. 1. 1. 1. 3. 1.],[3. 4. 3. 3. 3. 5. 3.]
21,MAB,4,2,2.25/2.25/2.25/4.25/4.25/5.75/4.25/5.75/4.25,0.00897073745727539,0.3313472270965576,None,0,[0 2 0 0 0 0 0 1 1 1 1 0 1 1 0 1 0 1 1 1 1],[1. 2. 1. 1. 1. 3. 1.],[4. 4. 3. 3. 3. 5. 3.]
22,MAB,4,3,2.5/2.0/2.0/4.0/4.0/5.5/4.0/5.5/4.0,0.008416175842285156,0.3397634029388428,None,0,[0 2 0 0 0 0 0 1 1 1 1 0 0 1 0 1 0 1 1 1 1],[1. 2. 1. 1. 1. 3. 1.],[4. 4. 4. 3. 3. 5. 3.]
23,MAB,4,4,2.75/1.75/1.75/3.75/3.75/5.25/3.75/5.25/3.75,0.008737564086914062,0.34850096702575684,None,0,[0 2 0 0 0 0 0 1 1 1 1 0 0 0 0 1 0 1 1 1 1],[1. 2. 1. 1. 1. 3. 1.],[4. 4. 4. 4. 3. 5. 3.]
24,MAB,4,5,2.5/1.5/1.5/3.5/3.5/5.0/3.5/5.0/3.5,0.00916600227355957,0.3576669692993164,None,0,[1 2 0 0 0 0 0 1 1 1 1 0 0 0 0 1 0 1 1 1 1],[1. 2. 1. 1. 1. 3. 1.],[4. 4. 4. 4. 4. 5. 3.]
25,MAB,4,6,2.75/1.25/1.25/3.25/3.25/4.75/3.25/4.75/3.25,0.008278846740722656,0.36594581604003906,None,0,[1 2 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 1 1 1 1],[1. 2. 1. 1. 1. 3. 1.],[4. 4. 4. 4. 4. 5. 4.]
26,MAB,4,7,0.5/2.0/2.0/4.0/4.0/4.0/4.0/4.0/4.0,0.007826089859008789,0.37377190589904785,None,0,[0 2 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0],[1. 2. 1. 1. 1. 3. 1.],[4. 5. 4. 4. 4. 5. 4.]
27,MAB,4,9,0.25/1.75/1.75/3.75/3.75/3.75/3.75/3.75/3.75,0.008155345916748047,0.3819272518157959,0,0,[0 2 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0],[1. 2. 1. 1. 1. 4. 1.],[4. 5. 4. 4. 4. 6. 4.]
28,NewPanel,5,0,4.75/3.25/4.75/3.25/1.25/1.25/3.25/4.75,0.036802053451538086,0.418729305267334,None,14,[1 0 1 1 1 1 0 1 1 1 1 0 0 0 0 0 2 0 0 0 0],[1. 2. 1. 1. 1. 4. 1.],[4. 5. 4. 4. 4. 6. 4.]
29,MAB,5,1,4.5/3.0/4.5/3.0/1.0/1.0/3.0/4.5,0.025701045989990234,0.4444303512573242,None,0,[1 0 1 1 1 1 0 1 1 0 1 0 0 0 0 0 2 0 0 0 0],[1. 2. 1. 1. 1. 4. 1.],[4. 5. 4. 4. 4. 7. 4.]
30,MAB,5,2,4.5/3.0/2.5/1.0/3.0/3.0/3.0/4.5,0.008233070373535156,0.4526634216308594,None,0,[1 0 1 1 1 1 0 1 1 0 1 2 0 0 0 0 0 0 0 0 0],[1. 2. 1. 1. 1. 4. 1.],[5. 5. 4. 4. 4. 7. 4.]
31,MAB,5,3,4.25/2.75/2.25/0.75/3.25/2.75/3.25/4.25,0.025179147720336914,0.4778425693511963,None,0,[1 0 0 1 1 1 0 1 1 0 1 2 0 0 0 0 0 0 0 0 0],[1. 2. 1. 1. 1. 4. 1.],[5. 5. 5. 4. 4. 7. 4.]
32,MAB,5,4,4.0/3.0/2.0/1.0/3.0/3.0/3.0/4.0,0.008935689926147461,0.48677825927734375,None,0,[1 0 0 1 1 1 0 1 0 0 1 2 0 0 0 0 0 0 0 0 0],[1. 2. 1. 1. 1. 4. 1.],[5. 5. 5. 5. 4. 7. 4.]
33,MAB,5,5,4.25/3.25/2.25/1.25/3.25/3.25/3.25/4.25,0.008555412292480469,0.4953336715698242,None,0,[0 0 0 1 1 1 0 1 0 0 1 2 0 0 0 0 0 0 0 0 0],[1. 2. 1. 1. 1. 4. 1.],[5. 5. 5. 5. 5. 7. 4.]
34,MAB,5,6,4.0/3.5/2.0/1.5/3.0/3.5/3.0/4.0,0.008294343948364258,0.5036280155181885,None,0,[0 0 0 1 1 1 0 1 0 0 0 2 0 0 0 0 0 0 0 0 0],[1. 2. 1. 1. 1. 4. 1.],[5. 5. 5. 5. 5. 7. 5.]
35,MAB,5,8,2.75/2.75/0.75/0.75/2.75/2.75/2.75/2.75,0.007357597351074219,0.5109856128692627,4,0,[1 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0],[1. 3. 1. 1. 1. 4. 1.],[5. 6. 5. 5. 5. 7. 5.]
36,NewPanel,6,0,2.5/4.0/4.0/6.0/6.0/4.0/2.5,0.32183361053466797,0.8328192234039307,None,289,[0 2 0 0 0 0 2 0 0 0 0 2 0 0 0 0 0 1 1 1 1],[1. 3. 1. 1. 1. 4. 1.],[5. 6. 5. 5. 5. 7. 5.]
37,MAB,6,1,2.75/2.75/2.75/4.75/4.75/2.75/2.75,0.008308649063110352,0.841127872467041,None,0,[1 2 0 0 0 0 2 0 0 0 0 2 0 0 0 0 0 0 0 0 0],[1. 3. 1. 1. 1. 4. 1.],[5. 7. 5. 5. 5. 7. 5.]
38,MAB,6,2,3.0/3.0/3.0/5.0/5.0/3.0/3.0,0.008247613906860352,0.8493754863739014,None,0,[1 2 0 0 0 0 2 0 0 0 0 2 0 0 0 0 0 0 0 1 0],[1. 3. 1. 1. 1. 4. 1.],[5. 7. 5. 5. 5. 8. 5.]
39,MAB,6,3,2.5/4.0/4.0/6.0/6.0/4.0/2.5,0.008185148239135742,0.8575606346130371,None,0,[0 2 0 0 0 0 2 0 0 0 0 2 0 0 0 0 0 1 1 1 1],[1. 3. 1. 1. 1. 4. 1.],[5. 8. 5. 5. 5. 8. 5.]
40,MAB,6,4,0.5/2.0/4.0/4.0/4.0/4.0/2.5,0.007561445236206055,0.8651220798492432,None,0,[0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1],[1. 3. 1. 1. 1. 4. 1.],[6. 8. 5. 5. 5. 8. 5.]
41,MAB,6,5,0.75/1.75/3.75/3.75/3.75/3.75/2.75,0.007775068283081055,0.8728971481323242,None,0,[0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1],[1. 3. 1. 1. 1. 4. 1.],[6. 8. 6. 5. 5. 8. 5.]
