#iteration,algo,#panel,#suggestion,distances,iteration_time,total_time,target_found,#generations,panel,si,ni
0,NewPanel,1,0,7.0/5.5/5.5/3.5/3.5/3.5/5.5/7.0/5.5,0.12381315231323242,0.12381315231323242,None,1,[0 0 1 1 1 1 0 1 1 1 1 2 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0],[1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1.]
1,Egreedy,1,1,6.75/5.25/5.25/3.25/3.25/3.25/5.25/6.75/5.25,0.015404462814331055,0.13921761512756348,None,2,[0 0 1 1 1 1 0 1 1 1 1 2 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0],[1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1.]
2,Egreedy,1,2,6.5/5.0/5.5/3.0/3.0/3.5/5.0/6.5/5.5,0.007055997848510742,0.14627361297607422,None,1,[0 0 1 1 1 1 0 1 0 1 1 2 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0],[1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1.]
3,Egreedy,1,3,6.75/5.75/6.25/3.25/3.75/4.25/5.25/6.75/6.25,0.008363962173461914,0.15463757514953613,None,1,[0 0 1 1 1 1 0 1 0 1 0 2 0 0 0 0 0 0 1 1 1 1 0 1 0 0 0 0 1 1 0 0 0 1 1 0 0],[1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1.]
4,Egreedy,1,4,6.75/5.25/6.25/3.25/3.25/4.25/5.25/6.75/6.25,0.02194809913635254,0.17658567428588867,None,3,[0 0 1 1 1 1 0 1 0 1 0 2 0 0 0 0 0 0 1 1 0 1 0 1 0 0 0 0 1 1 0 1 0 1 1 0 0],[1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1.]
5,Egreedy,1,5,6.75/5.25/6.25/3.25/3.25/4.25/5.25/6.75/6.25,0.014104843139648438,0.1906905174255371,None,2,[0 0 1 1 1 1 0 1 0 1 0 2 0 0 0 0 0 0 1 1 1 0 0 1 0 0 0 0 1 1 0 1 0 1 1 0 0],[1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1.]
6,Egreedy,1,6,7.0/5.5/6.5/3.5/3.5/4.5/5.5/7.0/6.5,0.021149873733520508,0.21184039115905762,None,3,[0 0 1 1 0 1 0 1 0 1 0 2 0 0 0 0 0 0 1 1 1 1 0 1 1 0 0 0 1 1 0 1 0 1 1 0 0],[1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1.]
7,Egreedy,1,7,6.75/5.25/6.75/3.25/3.25/4.75/5.25/6.75/6.75,0.007186174392700195,0.2190265655517578,None,1,[0 0 1 1 0 1 0 0 0 1 0 2 0 0 0 0 0 0 1 1 1 1 0 1 1 0 0 0 1 1 0 1 0 1 1 0 0],[1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1.]
8,Egreedy,1,8,8.5/7.0/8.0/5.0/5.0/6.0/7.0/8.5/8.0,0.021970033645629883,0.2409965991973877,None,3,[0 0 1 1 0 1 0 0 0 1 1 2 0 0 0 0 2 0 1 1 1 1 0 1 1 0 0 0 1 1 0 1 2 0 0 0 0],[1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1.]
9,Egreedy,1,9,9.0/7.5/8.5/5.5/5.5/6.5/7.5/9.0/8.5,0.00801539421081543,0.24901199340820312,None,1,[0 0 1 1 0 1 0 0 0 1 1 2 0 0 0 0 2 0 1 1 1 1 2 0 0 0 0 0 1 1 0 1 2 0 0 0 0],[1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1.]
