#iteration,algo,#panel,#suggestion,distances,iteration_time,total_time,target_found,#generations,panel,si,ni
0,NewPanel,1,0,7.0/5.5/7.0/5.0/3.5/5.0/7.0/7.0/7.0,0.19867825508117676,0.19867825508117676,None,1,[0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 1 1 1 1 0 1 1 1 1 0 1 1 1 1 0 1 1 1 1],[1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1.]
1,MAB,1,1,5.0/3.5/5.0/7.0/5.5/7.0/7.0/7.0/7.0,0.013130903244018555,0.2118091583251953,None,0,[0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 1 1 1 1 0 1 1 1 1 0 1 1 1 1],[1. 1. 1. 1. 1. 1. 1.],[2. 1. 1. 1. 1. 1. 1.]
2,MAB,1,3,0.75/0.75/0.75/2.75/2.75/2.75/2.75/2.75/2.75,0.010284900665283203,0.22209405899047852,0,0,[1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1. 2. 1. 1. 1. 1. 1.],[2. 2. 1. 1. 1. 1. 1.]
3,NewPanel,2,0,5.5/5.5/5.0/3.5/3.5/7.0/7.0/5.5,0.1120901107788086,0.3341841697692871,None,2,[0 0 0 0 0 0 0 1 1 1 1 2 0 0 0 0 0 0 1 1 1 1 0 1 1 1 1 0 1 1 1 1 0 0 0 0 0],[1. 2. 1. 1. 1. 1. 1.],[2. 2. 1. 1. 1. 1. 1.]
4,MAB,2,1,5.75/5.25/4.75/3.75/3.25/6.75/6.75/5.25,0.013420581817626953,0.34760475158691406,None,0,[0 0 0 0 0 0 0 1 1 1 1 2 0 0 0 0 0 0 1 1 1 1 0 0 1 1 1 0 1 1 1 1 0 0 0 0 0],[1. 2. 1. 1. 1. 1. 1.],[2. 2. 2. 1. 1. 1. 1.]
5,MAB,2,2,6.0/5.0/4.5/4.0/3.0/6.5/6.5/5.0,0.012618541717529297,0.36022329330444336,None,0,[0 0 0 0 0 0 0 1 1 1 1 2 0 0 0 0 0 0 1 1 1 1 0 0 0 1 1 0 1 1 1 1 0 0 0 0 0],[1. 2. 1. 1. 1. 1. 1.],[2. 2. 2. 2. 1. 1. 1.]
6,MAB,2,3,5.75/4.75/4.25/3.75/2.75/6.25/6.25/4.75,0.013141155242919922,0.3733644485473633,None,0,[1 0 0 0 0 0 0 1 1 1 1 2 0 0 0 0 0 0 1 1 1 1 0 0 0 1 1 0 1 1 1 1 0 0 0 0 0],[1. 2. 1. 1. 1. 1. 1.],[2. 2. 2. 2. 2. 1. 1.]
7,MAB,2,4,5.5/4.5/4.0/3.5/2.5/6.0/6.0/4.5,0.012790679931640625,0.3861551284790039,None,0,[1 0 0 0 0 0 0 1 1 1 1 2 0 0 0 0 0 0 1 1 1 1 0 0 0 0 1 0 1 1 1 1 0 0 0 0 0],[1. 2. 1. 1. 1. 1. 1.],[2. 2. 2. 2. 2. 2. 1.]
8,MAB,2,5,5.75/4.25/3.75/3.75/2.25/5.75/5.75/4.25,0.0128326416015625,0.3989877700805664,None,0,[1 0 0 0 0 0 0 1 1 1 1 2 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0],[1. 2. 1. 1. 1. 1. 1.],[2. 2. 2. 2. 2. 2. 2.]
9,MAB,2,6,4.0/4.0/0.5/2.0/2.0/2.5/4.0/4.0,0.010772943496704102,0.4097607135772705,None,0,[0 0 1 1 1 1 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1. 2. 1. 1. 1. 1. 1.],[2. 3. 2. 2. 2. 2. 2.]
10,MAB,2,7,4.0/4.0/2.0/2.0/2.0/4.0/4.0/4.0,0.010835886001586914,0.4205965995788574,None,0,[0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0],[1. 2. 1. 1. 1. 1. 1.],[2. 4. 2. 2. 2. 2. 2.]
11,MAB,2,8,2.0/2.0/4.0/4.0/4.0/4.0/4.0/4.0,0.010888338088989258,0.4314849376678467,None,0,[0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0],[1. 2. 1. 1. 1. 1. 1.],[3. 4. 2. 2. 2. 2. 2.]
12,MAB,2,9,1.75/1.75/3.75/3.75/3.75/3.75/3.75/3.75,0.010545015335083008,0.4420299530029297,None,0,[0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0],[1. 2. 1. 1. 1. 1. 1.],[3. 4. 2. 2. 2. 2. 3.]
13,MAB,2,10,2.0/2.0/4.0/4.0/4.0/4.0/4.0/4.0,0.010821342468261719,0.4528512954711914,None,0,[0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1],[1. 2. 1. 1. 1. 1. 1.],[3. 5. 2. 2. 2. 2. 3.]
14,MAB,2,11,1.75/1.75/3.75/3.75/3.75/3.75/3.75/3.75,0.010472297668457031,0.46332359313964844,None,0,[0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1],[1. 2. 1. 1. 1. 1. 1.],[3. 5. 3. 2. 2. 2. 3.]
15,MAB,2,12,1.5/1.5/3.5/3.5/3.5/3.5/3.5/3.5,0.009910821914672852,0.4732344150543213,None,0,[0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1],[1. 2. 1. 1. 1. 1. 1.],[3. 5. 3. 2. 2. 3. 3.]
16,MAB,2,13,1.25/1.25/3.25/3.25/3.25/3.25/3.25/3.25,0.009645700454711914,0.4828801155090332,None,0,[0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1],[1. 2. 1. 1. 1. 1. 1.],[3. 5. 3. 3. 2. 3. 3.]
17,MAB,2,14,1.0/1.0/3.0/3.0/3.0/3.0/3.0/3.0,0.010062694549560547,0.49294281005859375,None,0,[1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1],[1. 2. 1. 1. 1. 1. 1.],[3. 5. 3. 3. 3. 3. 3.]
18,MAB,2,15,1.25/1.25/3.25/3.25/3.25/3.25/3.25/3.25,0.010465860366821289,0.503408670425415,None,0,[1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1],[1. 2. 1. 1. 1. 1. 1.],[3. 5. 3. 3. 3. 4. 3.]
19,MAB,2,16,2.0/2.0/4.0/4.0/4.0/4.0/2.5/4.0,0.010785818099975586,0.5141944885253906,None,0,[0 2 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1. 2. 1. 1. 1. 1. 1.],[3. 6. 3. 3. 3. 4. 3.]
20,MAB,2,17,4.0/4.0/4.0/4.0/4.0/4.0/2.5/4.0,0.010840654373168945,0.5250351428985596,None,0,[0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1. 2. 1. 1. 1. 1. 1.],[4. 6. 3. 3. 3. 4. 3.]
21,MAB,2,18,2.75/2.75/2.75/2.75/2.75/2.75/2.75/2.75,0.01009988784790039,0.53513503074646,None,0,[1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1. 2. 1. 1. 1. 1. 1.],[4. 7. 3. 3. 3. 4. 3.]
22,MAB,2,19,3.0/3.0/2.5/3.0/3.0/2.5/3.0/3.0,0.010321855545043945,0.5454568862915039,None,0,[1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1. 2. 1. 1. 1. 1. 1.],[4. 7. 4. 3. 3. 4. 3.]
23,MAB,2,20,2.75/2.75/2.75/2.75/2.75/2.75/2.75/2.75,0.010068416595458984,0.5555253028869629,None,0,[1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1. 2. 1. 1. 1. 1. 1.],[4. 7. 5. 3. 3. 4. 3.]
24,MAB,2,21,3.0/3.0/2.5/3.0/3.0/2.5/3.0/3.0,0.009272098541259766,0.5647974014282227,None,0,[1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1. 2. 1. 1. 1. 1. 1.],[4. 7. 5. 4. 3. 4. 3.]
