#iteration,algo,#panel,#suggestion,distances,iteration_time,total_time,target_found,#generations,panel
0,NewPanel,1,0,6.5,0.010354280471801758,0.010354280471801758,None,1,[0 0 1 1 1 1 2 0 0 0 0 0 0 1 1 1 1 0 1 1 1 1 0 1 1 1 1]
1,Egreedy,1,1,6.25,0.004420280456542969,0.014774560928344727,None,1,[0 0 1 1 1 1 2 0 0 0 0 0 0 1 1 1 1 0 1 1 1 1 0 1 1 1 0]
2,Egreedy,1,2,4.25,0.003995418548583984,0.01876997947692871,None,1,[0 2 0 0 0 0 2 0 0 0 0 0 0 1 1 1 1 0 1 1 1 1 0 1 1 1 0]
3,Egreedy,1,3,4.0,0.003977298736572266,0.022747278213500977,None,1,[0 2 0 0 0 0 2 0 0 0 0 0 0 1 1 1 1 0 1 1 1 1 0 1 0 1 0]
4,Egreedy,1,4,4.0,0.011538982391357422,0.0342862606048584,None,3,[0 2 0 0 0 0 2 0 0 0 0 0 0 1 1 1 1 2 0 0 0 0 0 1 0 1 0]
5,Egreedy,1,5,3.75,0.0037331581115722656,0.038019418716430664,None,1,[0 2 0 0 0 0 2 0 0 0 0 0 0 1 1 1 1 2 0 0 0 0 0 1 0 0 0]
6,Egreedy,1,6,2.75,0.003736257553100586,0.04175567626953125,None,1,[0 2 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 2 0 0 0 0 0 1 0 0 0]
7,Egreedy,1,7,3.25,0.029977083206176758,0.07173275947570801,None,8,[0 2 0 0 0 0 0 1 0 1 0 0 0 0 1 1 1 2 0 0 0 0 0 1 0 1 0]
8,Egreedy,1,8,5.25,0.0075817108154296875,0.0793144702911377,None,2,[0 0 0 0 0 0 0 1 0 1 0 2 0 0 1 1 1 2 0 0 0 0 0 1 0 1 0]
9,Egreedy,1,9,5.25,0.007577419281005859,0.08689188957214355,None,2,[0 0 0 0 0 0 0 1 0 1 0 2 0 0 1 1 1 2 0 0 0 0 0 0 0 1 1]
10,Egreedy,1,10,4.0,0.007637739181518555,0.09452962875366211,None,2,[1 0 0 0 0 0 0 1 0 1 0 2 0 0 1 1 1 0 0 0 0 0 0 0 0 1 1]
11,Egreedy,1,11,3.0,0.015311956405639648,0.10984158515930176,None,4,[1 2 0 0 0 0 0 1 0 1 0 2 0 0 1 1 0 0 0 0 0 0 0 1 0 1 1]
12,Egreedy,1,12,2.75,0.0037872791290283203,0.11362886428833008,None,1,[1 2 0 0 0 0 0 1 0 1 0 2 0 0 1 1 0 0 0 0 0 0 0 0 0 1 1]
13,Egreedy,1,13,2.5,0.0037665367126464844,0.11739540100097656,None,1,[1 2 0 0 0 0 0 1 0 1 0 2 0 0 1 1 0 0 0 0 0 0 0 0 0 0 1]
14,Egreedy,1,14,2.5,0.011230230331420898,0.12862563133239746,None,3,[1 2 0 0 0 0 0 1 0 0 0 2 0 0 1 1 0 0 0 0 0 0 0 0 0 1 1]
15,Egreedy,1,15,2.25,0.011246442794799805,0.13987207412719727,None,3,[1 2 0 0 0 0 0 1 0 0 0 2 0 0 1 0 0 0 0 0 0 0 0 0 0 1 1]
16,Egreedy,1,16,2.0,0.007398128509521484,0.14727020263671875,None,2,[1 2 0 0 0 0 0 1 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1]
17,Egreedy,1,17,3.75,0.022923946380615234,0.17019414901733398,None,6,[1 2 0 0 0 0 0 0 1 0 0 2 2 0 0 0 0 0 1 1 0 0 0 1 0 1 1]
18,Egreedy,1,18,3.75,0.007658481597900391,0.17785263061523438,None,2,[1 2 0 0 0 0 0 0 1 0 0 2 2 0 0 0 0 0 1 1 1 0 0 1 0 1 0]
19,Egreedy,1,19,4.75,0.003793478012084961,0.18164610862731934,None,1,[1 0 0 0 0 0 0 0 1 0 0 2 2 0 0 0 0 0 1 1 1 0 0 1 0 1 0]
20,Egreedy,1,20,3.75,0.003764629364013672,0.185410737991333,None,1,[1 0 0 0 0 0 0 0 1 0 0 0 2 0 0 0 0 0 1 1 1 0 0 1 0 1 0]
21,Egreedy,1,21,4.5,0.023002147674560547,0.20841288566589355,None,6,[1 0 0 0 1 0 0 1 1 1 0 0 2 0 0 0 0 0 1 0 1 0 0 1 1 1 0]
22,Egreedy,1,22,5.5,0.007935285568237305,0.21634817123413086,None,2,[1 0 0 1 0 0 0 1 1 1 0 2 2 0 0 0 0 0 1 0 1 0 0 1 1 0 1]
23,Egreedy,1,23,5.5,0.0078008174896240234,0.22414898872375488,None,2,[1 0 0 1 0 1 0 1 1 0 0 2 2 0 0 0 0 0 1 0 1 0 0 1 1 0 1]
24,Egreedy,1,24,5.25,0.003869771957397461,0.22801876068115234,None,1,[1 0 0 1 0 1 0 1 1 0 0 2 2 0 0 0 0 0 1 0 1 0 0 0 1 0 1]
25,Egreedy,1,25,4.25,0.0038576126098632812,0.23187637329101562,None,1,[1 0 0 1 0 1 0 1 1 0 0 0 2 0 0 0 0 0 1 0 1 0 0 0 1 0 1]
26,Egreedy,1,26,4.0,0.007670879364013672,0.2395472526550293,None,2,[1 0 0 1 0 1 0 1 1 0 0 0 2 0 0 0 0 0 1 0 1 0 0 0 0 0 1]
27,Egreedy,1,27,3.75,0.003961086273193359,0.24350833892822266,None,1,[1 0 0 0 0 1 0 1 1 0 0 0 2 0 0 0 0 0 1 0 1 0 0 0 0 0 1]
28,Egreedy,1,28,3.75,0.0038442611694335938,0.24735260009765625,None,1,[1 0 0 0 0 1 0 0 0 0 0 0 2 0 0 0 0 2 0 0 0 0 0 0 0 0 1]
29,Egreedy,1,29,4.25,0.007531642913818359,0.2548842430114746,None,2,[1 0 0 0 0 0 0 1 1 1 0 0 2 0 0 0 0 2 0 0 0 0 0 0 0 0 1]
30,Egreedy,1,30,4.0,0.0036916732788085938,0.2585759162902832,None,1,[1 0 0 0 0 0 0 1 1 0 0 0 2 0 0 0 0 2 0 0 0 0 0 0 0 0 1]
31,Egreedy,1,31,3.75,0.014666080474853516,0.2732419967651367,None,4,[1 0 0 0 0 0 0 0 1 0 0 0 2 0 0 0 0 2 0 0 0 0 0 0 0 0 1]
32,Egreedy,1,32,2.5,0.015048503875732422,0.28829050064086914,None,4,[1 2 0 0 0 0 0 0 1 1 0 0 0 0 0 1 1 2 0 0 0 0 0 0 0 0 1]
33,Egreedy,1,33,3.25,0.03066396713256836,0.3189544677734375,None,8,[1 2 0 0 0 0 0 0 1 1 0 0 0 1 0 0 1 2 0 0 0 0 0 1 1 1 1]
34,Egreedy,1,34,3.0,0.003842592239379883,0.3227970600128174,None,1,[1 2 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0 2 0 0 0 0 0 1 1 1 1]
35,Egreedy,1,35,3.25,0.0038576126098632812,0.32665467262268066,None,1,[0 2 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0 2 0 0 0 0 0 1 1 1 1]
36,Egreedy,1,36,3.0,0.0038030147552490234,0.3304576873779297,None,1,[0 2 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0 2 0 0 0 0 0 1 0 1 1]
37,Egreedy,1,37,4.0,0.003753662109375,0.3342113494873047,None,1,[0 0 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0 2 0 0 0 0 0 1 0 1 1]
38,Egreedy,1,38,4.75,0.0037381649017333984,0.3379495143890381,None,1,[0 0 0 0 0 0 0 0 1 1 0 0 2 0 0 0 0 2 0 0 0 0 0 1 0 1 1]
39,Egreedy,1,39,4.5,0.007406949996948242,0.34535646438598633,None,2,[0 0 0 0 0 0 0 0 0 1 0 0 2 0 0 0 0 2 0 0 0 0 0 1 0 1 1]
40,Egreedy,1,40,4.0,0.007561206817626953,0.3529176712036133,None,2,[1 0 0 0 0 0 0 0 0 1 0 0 2 0 0 0 0 2 0 0 0 0 0 0 0 1 1]
41,Egreedy,1,41,2.25,0.0076313018798828125,0.3605489730834961,None,2,[1 2 0 0 0 0 0 0 0 1 0 0 2 0 0 0 0 0 0 0 0 0 0 0 1 1 1]
42,Egreedy,1,42,3.0,0.003943920135498047,0.36449289321899414,None,1,[0 2 0 0 0 0 0 0 1 1 0 0 2 0 0 0 0 0 0 0 0 1 0 0 1 1 1]
43,Egreedy,1,43,2.25,0.02640533447265625,0.3908982276916504,None,7,[0 2 0 0 0 0 0 0 1 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 1 1]
44,Egreedy,1,44,2.0,0.003634214401245117,0.3945324420928955,None,1,[0 2 0 0 0 0 0 0 1 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 1]
45,Egreedy,1,45,3.75,0.02597212791442871,0.4205045700073242,None,7,[0 2 0 0 0 0 0 1 0 0 0 2 2 0 0 0 0 0 0 1 0 1 0 0 1 0 1]
46,Egreedy,1,46,3.25,0.015318870544433594,0.4358234405517578,None,4,[0 2 0 0 0 0 0 0 1 0 0 2 0 0 0 1 0 0 0 1 1 1 0 0 1 0 1]
47,Egreedy,1,47,4.5,0.007896900177001953,0.44372034072875977,None,2,[0 2 0 0 0 0 2 0 0 0 0 2 0 0 1 1 0 0 0 1 1 1 0 1 1 0 1]
48,Egreedy,1,48,4.25,0.011486053466796875,0.45520639419555664,None,3,[0 2 0 0 0 0 2 0 0 0 0 2 0 0 1 1 0 0 0 1 1 1 0 0 1 0 1]
49,Egreedy,1,49,4.25,0.00763702392578125,0.4628434181213379,None,2,[0 2 0 0 0 0 2 0 0 0 0 2 0 0 1 1 0 0 0 0 1 1 0 1 1 0 1]
50,Egreedy,1,50,4.0,0.0037887096405029297,0.4666321277618408,None,1,[0 2 0 0 0 0 2 0 0 0 0 2 0 0 1 1 0 0 0 0 0 1 0 1 1 0 1]
51,Egreedy,1,51,5.0,0.0037882328033447266,0.47042036056518555,None,1,[0 0 0 0 0 0 2 0 0 0 0 2 0 0 1 1 0 0 0 0 0 1 0 1 1 0 1]
52,Egreedy,1,52,3.75,0.003878355026245117,0.47429871559143066,None,1,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 2 0 0 0 0 0 1 1 0 1]
53,Egreedy,1,53,2.5,0.02611517906188965,0.5004138946533203,None,7,[0 2 0 0 0 0 0 0 0 0 1 2 0 0 1 1 0 0 0 0 0 0 0 1 1 0 1]
54,Egreedy,1,54,3.75,0.0075757503509521484,0.5079896450042725,None,2,[0 0 0 0 0 0 0 0 0 1 1 2 0 0 1 1 0 0 0 0 0 0 0 1 1 0 1]
55,Egreedy,1,55,3.75,0.0039174556732177734,0.5119071006774902,None,1,[0 0 0 0 0 0 0 1 0 1 0 0 2 0 0 0 0 0 0 1 0 0 0 0 1 0 1]
56,Egreedy,1,56,2.0,0.0039632320404052734,0.5158703327178955,None,1,[0 2 0 0 0 0 0 1 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 1 0 1]
57,Egreedy,1,57,3.75,0.007565975189208984,0.5234363079071045,None,2,[0 2 0 0 0 0 2 0 0 0 0 2 0 0 1 1 0 0 0 1 0 0 0 0 1 0 1]
58,Egreedy,1,58,3.25,0.011580228805541992,0.5350165367126465,None,3,[0 2 0 0 0 0 0 0 1 0 1 2 0 1 1 1 0 0 1 1 0 0 0 0 1 0 1]
59,Egreedy,1,59,3.25,0.007931709289550781,0.5429482460021973,None,2,[0 2 0 0 0 0 0 0 1 0 1 2 0 1 1 1 1 0 1 1 0 0 0 1 0 0 0]
60,Egreedy,1,60,2.5,0.01963186264038086,0.5625801086425781,None,5,[1 2 0 0 0 0 0 0 1 0 1 2 0 1 1 1 1 0 0 0 0 0 0 1 0 0 0]
61,Egreedy,1,61,2.25,0.0038361549377441406,0.5664162635803223,None,1,[1 2 0 0 0 0 0 0 1 0 1 2 0 1 0 1 1 0 0 0 0 0 0 1 0 0 0]
62,Egreedy,1,62,2.5,0.011594295501708984,0.5780105590820312,None,3,[1 2 0 0 0 0 0 0 1 0 1 2 0 1 0 1 1 0 0 0 0 0 0 0 1 0 1]
63,Egreedy,1,63,2.25,0.003820657730102539,0.5818312168121338,None,1,[1 2 0 0 0 0 0 0 1 0 1 2 0 1 0 0 1 0 0 0 0 0 0 0 1 0 1]
64,Egreedy,1,64,2.75,0.007692575454711914,0.5895237922668457,None,2,[1 2 0 0 0 0 0 0 1 1 0 2 0 1 0 0 1 0 0 0 0 0 0 0 1 0 1]
65,Egreedy,1,65,1.75,0.0038137435913085938,0.5933375358581543,None,1,[1 2 0 0 0 0 0 0 1 1 0 0 0 1 0 0 1 0 0 0 0 0 0 0 1 0 1]
66,Egreedy,1,66,2.25,0.003835439682006836,0.5971729755401611,None,1,[1 2 0 0 0 0 0 0 1 1 0 0 0 1 0 0 1 0 0 0 0 0 2 0 0 0 0]
67,Egreedy,1,67,2.0,0.015596389770507812,0.612769365310669,None,4,[1 2 0 0 0 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 0 0 2 0 0 0 0]
68,Egreedy,1,68,0.75,0.004012346267700195,0.6167817115783691,None,1,[1 2 0 0 0 0 0 0 0 1 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1]
69,Egreedy,1,69,1.75,0.02420210838317871,0.6409838199615479,None,6,[1 2 0 0 0 0 0 0 0 1 1 0 0 1 0 0 1 2 0 0 0 0 0 0 0 0 0]
70,Egreedy,1,70,2.25,0.016463518142700195,0.657447338104248,None,4,[1 2 0 0 0 0 0 1 1 1 1 0 0 1 1 0 0 2 0 0 0 0 0 0 0 0 0]
71,Egreedy,1,71,1.5,0.008269309997558594,0.6657166481018066,None,2,[1 2 0 0 0 0 0 1 1 1 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 1]
72,Egreedy,1,72,1.25,0.004265785217285156,0.6699824333190918,None,1,[1 2 0 0 0 0 0 0 1 1 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 1]
