#iteration,algo,#panel,#suggestion,distances,iteration_time,total_time,target_found,#generations,panel
0,NewPanel,1,0,4.25,0.0061337947845458984,0.0061337947845458984,None,1,[1 0 1 1 1 1 2 0 0 0 0 0 0 1 1 1 1]
1,Egreedy,1,1,4.5,0.006134510040283203,0.012268304824829102,None,1,[0 0 1 1 1 1 2 0 0 0 0 0 0 1 1 1 1]
2,Egreedy,1,2,5.25,0.011879920959472656,0.024148225784301758,None,2,[0 0 1 1 1 1 2 0 0 0 0 2 0 1 1 0 1]
3,Egreedy,1,3,3.75,0.01790332794189453,0.04205155372619629,None,3,[0 0 1 1 1 1 2 0 0 0 0 0 0 1 0 0 0]
4,Egreedy,1,4,3.5,0.0058748722076416016,0.04792642593383789,None,1,[0 0 1 0 1 1 2 0 0 0 0 0 0 1 0 0 0]
5,Egreedy,1,5,4.25,0.005787372589111328,0.05371379852294922,None,1,[0 0 1 0 1 1 2 0 0 0 0 0 2 0 0 0 0]
6,Egreedy,1,6,3.5,0.005632162094116211,0.05934596061706543,None,1,[0 0 1 0 1 1 2 0 0 0 0 0 0 0 0 1 0]
7,Egreedy,1,7,3.25,0.029505014419555664,0.0888509750366211,None,5,[1 0 1 0 0 1 2 0 0 0 0 0 0 1 0 1 0]
8,Egreedy,1,8,3.0,0.005574226379394531,0.09442520141601562,None,1,[1 0 1 0 0 1 2 0 0 0 0 0 0 1 0 0 0]
9,Egreedy,1,9,3.25,0.005201816558837891,0.09962701797485352,None,1,[0 0 1 0 0 1 2 0 0 0 0 0 0 1 0 0 0]
10,Egreedy,1,10,3.0,0.005331754684448242,0.10495877265930176,None,1,[0 0 1 0 0 1 2 0 0 0 0 0 0 0 0 0 0]
11,Egreedy,1,11,3.5,0.011160612106323242,0.116119384765625,None,2,[0 0 0 0 0 1 2 0 0 0 0 0 0 1 1 1 0]
12,Egreedy,1,12,3.0,0.010944843292236328,0.12706422805786133,None,2,[1 0 0 0 0 0 2 0 0 0 0 0 0 1 1 1 0]
13,Egreedy,1,13,3.25,0.005167484283447266,0.1322317123413086,None,1,[0 0 0 0 0 0 2 0 0 0 0 0 0 1 1 1 0]
14,Egreedy,1,14,3.0,0.00536346435546875,0.13759517669677734,None,1,[0 0 0 0 0 0 2 0 0 0 0 0 0 1 1 0 0]
15,Egreedy,1,15,2.75,0.010626792907714844,0.1482219696044922,None,2,[0 0 0 0 0 0 2 0 0 0 0 0 0 0 1 0 0]
16,Egreedy,1,16,2.25,0.03770041465759277,0.18592238426208496,None,7,[1 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0]
17,Egreedy,1,17,2.75,0.005465269088745117,0.19138765335083008,None,1,[0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 1 0]
18,Egreedy,1,18,4.0,0.08685517311096191,0.278242826461792,None,16,[0 0 0 0 1 1 2 0 0 0 0 0 2 0 0 0 0]
19,Egreedy,1,19,3.5,0.016849756240844727,0.2950925827026367,None,3,[0 0 1 0 1 1 0 0 0 1 0 0 2 0 0 0 0]
20,Egreedy,1,20,4.0,0.017077207565307617,0.31216979026794434,None,3,[1 0 1 0 0 1 0 0 0 1 0 2 2 0 0 0 0]
21,Egreedy,1,21,4.0,0.011535406112670898,0.32370519638061523,None,2,[1 0 1 0 1 0 0 0 0 1 0 2 2 0 0 0 0]
22,Egreedy,1,22,3.0,0.005665779113769531,0.32937097549438477,None,1,[1 0 1 0 1 0 0 0 0 1 0 0 2 0 0 0 0]
23,Egreedy,1,23,2.75,0.005604982376098633,0.3349759578704834,None,1,[1 0 0 0 1 0 0 0 0 1 0 0 2 0 0 0 0]
24,Egreedy,1,24,4.0,0.09418964385986328,0.4291656017303467,None,17,[0 0 1 0 1 0 2 0 0 0 0 0 2 0 0 0 0]
25,Egreedy,1,25,2.75,0.010957002639770508,0.4401226043701172,None,2,[1 0 1 0 1 0 0 0 0 0 0 0 2 0 0 0 0]
26,Egreedy,1,26,3.25,0.01653122901916504,0.4566538333892822,None,3,[0 0 1 0 1 0 0 1 0 0 0 0 2 0 0 0 0]
27,Egreedy,1,27,1.5,0.02191901206970215,0.4785728454589844,None,4,[1 2 0 0 0 0 0 1 0 0 0 0 2 0 0 0 0]
28,Egreedy,1,28,2.5,0.005243062973022461,0.48381590843200684,None,1,[1 0 0 0 0 0 0 1 0 0 0 0 2 0 0 0 0]
29,Egreedy,1,29,3.0,0.010635614395141602,0.49445152282714844,None,2,[0 0 0 0 0 0 0 1 0 1 0 0 2 0 0 0 0]
30,Egreedy,1,30,3.75,0.027273893356323242,0.5217254161834717,None,5,[0 0 0 1 0 0 2 0 0 0 0 0 2 0 0 0 0]
31,Egreedy,1,31,4.25,0.02744269371032715,0.5491681098937988,None,5,[0 0 0 1 0 1 0 0 1 0 0 2 2 0 0 0 0]
32,Egreedy,1,32,3.5,0.011312007904052734,0.5604801177978516,None,2,[0 0 0 1 0 1 0 1 1 0 0 2 0 0 0 0 0]
33,Egreedy,1,33,3.75,0.017183303833007812,0.5776634216308594,None,3,[0 0 1 1 1 0 0 1 1 0 0 2 0 0 0 0 0]
34,Egreedy,1,34,3.5,0.005656719207763672,0.583320140838623,None,1,[0 0 1 1 1 0 0 0 1 0 0 2 0 0 0 0 0]
35,Egreedy,1,35,3.0,0.016918420791625977,0.600238561630249,None,3,[1 0 1 0 1 0 0 0 1 0 0 2 0 0 0 0 0]
36,Egreedy,1,36,3.0,0.011293411254882812,0.6115319728851318,None,2,[0 0 1 0 0 0 0 1 0 0 0 2 0 0 0 0 0]
37,Egreedy,1,37,3.25,0.04403114318847656,0.6555631160736084,None,8,[0 0 1 1 0 0 0 0 0 0 0 2 0 0 1 0 0]
38,Egreedy,1,38,3.0,0.00555419921875,0.6611173152923584,None,1,[0 0 1 0 0 0 0 0 0 0 0 2 0 0 1 0 0]
39,Egreedy,1,39,2.75,0.011025428771972656,0.672142744064331,None,2,[0 0 0 0 0 0 0 0 0 0 0 2 0 0 1 0 0]
40,Egreedy,1,40,3.75,0.033341169357299805,0.7054839134216309,None,6,[0 0 1 0 1 1 0 0 0 0 1 2 0 1 0 1 1]
41,Egreedy,1,41,4.0,0.00568842887878418,0.711172342300415,None,1,[0 0 1 0 1 1 0 0 0 0 1 2 2 0 0 0 0]
42,Egreedy,1,42,4.0,0.02857232093811035,0.7397446632385254,None,5,[0 0 0 0 1 1 0 0 0 1 1 2 2 0 0 0 0]
43,Egreedy,1,43,3.75,0.017014503479003906,0.7567591667175293,None,3,[0 0 0 0 0 1 0 0 0 1 1 2 2 0 0 0 0]
44,Egreedy,1,44,4.0,0.010936737060546875,0.7676959037780762,None,2,[0 0 0 0 0 1 0 0 0 1 0 2 2 0 0 0 0]
45,Egreedy,1,45,4.25,0.04791998863220215,0.8156158924102783,None,8,[0 0 0 1 1 1 0 0 0 0 0 2 2 0 0 0 0]
46,Egreedy,1,46,3.0,0.0334775447845459,0.8490934371948242,None,6,[0 0 1 0 1 0 0 0 0 0 0 0 2 0 0 0 0]
47,Egreedy,1,47,2.25,0.07898855209350586,0.9280819892883301,None,14,[1 2 0 0 0 0 0 0 1 0 1 2 2 0 0 0 0]
48,Egreedy,1,48,1.5,0.011300802230834961,0.939382791519165,None,2,[1 2 0 0 0 0 0 0 1 0 1 2 0 1 0 0 0]
49,Egreedy,1,49,1.75,0.0058324337005615234,0.9452152252197266,None,1,[0 2 0 0 0 0 0 0 1 0 1 2 0 1 0 0 0]
50,Egreedy,1,50,3.0,0.0058345794677734375,0.9510498046875,None,1,[0 0 0 0 0 1 0 1 1 0 1 2 0 0 0 0 0]
51,Egreedy,1,51,2.75,0.005583286285400391,0.9566330909729004,None,1,[0 0 0 0 0 1 0 1 0 0 1 2 0 0 0 0 0]
52,Egreedy,1,52,2.5,0.00545501708984375,0.9620881080627441,None,1,[0 0 0 0 0 1 0 0 0 0 1 2 0 0 0 0 0]
53,Egreedy,1,53,3.25,0.37659215927124023,1.3386802673339844,None,86,[0 0 0 0 0 0 0 0 1 1 1 2 0 0 0 1 1]
54,Egreedy,1,54,4.0,0.06731820106506348,1.4059984683990479,None,18,[1 0 0 0 1 0 0 1 1 1 0 2 0 1 0 1 1]
55,Egreedy,1,55,4.0,0.007651090621948242,1.413649559020996,None,2,[1 0 0 0 0 1 0 1 1 1 0 2 0 1 0 1 1]
56,Egreedy,1,56,3.25,0.011319637298583984,1.42496919631958,None,3,[1 0 0 0 0 1 0 1 0 1 0 2 0 0 0 0 1]
57,Egreedy,1,57,3.0,0.003681659698486328,1.4286508560180664,None,1,[1 0 0 0 0 0 0 1 0 1 0 2 0 0 0 0 1]
58,Egreedy,1,58,1.5,0.02601933479309082,1.4546701908111572,None,7,[1 2 0 0 0 0 0 1 0 0 1 2 0 0 0 0 1]
59,Egreedy,1,59,1.75,0.011069297790527344,1.4657394886016846,None,3,[1 2 0 0 0 0 0 1 0 0 0 2 0 0 0 0 1]
60,Egreedy,1,60,1.5,0.0036318302154541016,1.4693713188171387,None,1,[1 2 0 0 0 0 0 0 0 0 0 2 0 0 0 0 1]
61,Egreedy,1,61,1.25,0.04783916473388672,1.5172104835510254,None,13,[1 2 0 0 0 0 0 0 0 1 0 0 0 1 1 0 1]
62,Egreedy,1,62,1.0,0.003664255142211914,1.5208747386932373,None,1,[1 2 0 0 0 0 0 0 0 1 0 0 0 1 1 0 0]
63,Egreedy,1,63,2.5,0.003616809844970703,1.524491548538208,None,1,[1 0 0 0 0 0 0 0 0 1 0 0 2 0 0 0 0]
64,Egreedy,1,64,4.0,0.03618311882019043,1.5606746673583984,None,10,[0 0 0 1 0 0 2 0 0 0 0 2 0 1 0 0 0]
65,Egreedy,1,65,3.0,0.007219552993774414,1.5678942203521729,None,2,[0 0 0 1 0 0 0 0 0 0 0 2 0 1 0 0 0]
66,Egreedy,1,66,2.0,0.0072784423828125,1.5751726627349854,None,2,[0 2 0 0 0 0 0 0 0 0 0 2 0 1 0 0 1]
67,Egreedy,1,67,3.25,0.0072689056396484375,1.5824415683746338,None,2,[0 0 0 0 1 0 0 0 0 0 0 2 0 1 0 0 1]
68,Egreedy,1,68,3.0,0.018390417098999023,1.6008319854736328,None,5,[0 0 1 0 1 0 2 0 0 0 0 0 0 0 0 0 0]
69,Egreedy,1,69,3.25,0.010884523391723633,1.6117165088653564,None,3,[0 0 1 1 0 0 2 0 0 0 0 0 0 1 0 0 0]
70,Egreedy,1,70,1.0,0.08775496482849121,1.6994714736938477,None,24,[0 2 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1]
71,Egreedy,1,71,1.0,0.032556772232055664,1.7320282459259033,None,9,[1 2 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0]
72,Egreedy,1,72,1.0,0.040062665939331055,1.7720909118652344,None,11,[1 2 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1]
73,Egreedy,1,73,4.0,0.08595395088195801,1.8580448627471924,None,23,[0 0 0 0 0 1 2 0 0 0 0 2 0 1 0 0 0]
74,Egreedy,1,74,3.25,0.025493621826171875,1.8835384845733643,None,7,[0 0 0 0 1 1 2 0 0 0 0 0 0 1 0 0 0]
75,Egreedy,1,75,3.25,0.0036504268646240234,1.8871889114379883,None,1,[0 0 0 0 1 1 0 0 0 0 0 2 0 1 0 0 0]
76,Egreedy,1,76,3.0,0.003612995147705078,1.8908019065856934,None,1,[0 0 0 0 0 1 0 0 0 0 0 2 0 1 0 0 0]
77,Egreedy,1,77,1.0,0.04382896423339844,1.9346308708190918,None,12,[0 2 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0]
78,Egreedy,1,78,0.75,0.003592967987060547,1.9382238388061523,None,1,[0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0]
79,Egreedy,1,79,3.5,0.05506014823913574,1.993283987045288,None,15,[0 0 0 0 0 0 0 1 0 0 0 2 0 1 0 1 1]
80,Egreedy,1,80,2.75,0.0036814212799072266,1.9969654083251953,None,1,[0 0 0 0 0 0 0 1 0 0 0 0 2 0 0 0 0]
81,Egreedy,1,81,1.25,0.03255295753479004,2.0295183658599854,None,9,[0 2 0 0 0 0 0 0 0 0 1 0 2 0 0 0 0]
82,Egreedy,1,82,1.5,0.007216215133666992,2.0367345809936523,None,2,[0 2 0 0 0 0 0 0 0 0 1 2 0 1 0 0 0]
83,Egreedy,1,83,0.5,0.0036172866821289062,2.0403518676757812,None,1,[0 2 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0]
84,Egreedy,1,84,1.25,0.010824203491210938,2.051176071166992,None,3,[0 2 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0]
85,Egreedy,1,86,0.25,0.014460563659667969,2.06563663482666,0,4,[0 2 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0]
