#iteration,algo,#panel,#suggestion,distances,iteration_time,total_time,target_found,#generations,panel
0,NewPanel,1,0,5.5,0.0040132999420166016,0.0040132999420166016,None,1,[0 0 1 1 1 1 2 0 0 0 0 0 1 1 1 1 0 1 1 1 1]
1,Explanation,1,1,5.25,0.005278110504150391,0.009291410446166992,None,1,[0 0 1 1 1 1 2 0 0 0 0 0 1 1 1 0 0 1 1 1 1]
2,Explanation,1,2,5.0,0.0050318241119384766,0.014323234558105469,None,1,[0 0 1 0 1 1 2 0 0 0 0 0 1 1 1 0 0 1 1 1 1]
3,Explanation,1,3,4.75,0.0050547122955322266,0.019377946853637695,None,1,[0 0 1 0 1 1 2 0 0 0 0 0 1 1 1 0 0 1 1 1 0]
4,Explanation,1,4,4.75,0.004897356033325195,0.02427530288696289,None,1,[0 0 1 0 1 1 2 0 0 0 0 0 1 1 1 0 0 1 1 1 0]
5,Explanation,1,5,4.75,0.0050504207611083984,0.02932572364807129,None,1,[0 0 1 0 1 1 2 0 0 0 0 0 1 1 1 0 0 1 1 1 0]
6,Explanation,1,6,4.0,0.0048370361328125,0.03416275978088379,None,1,[0 0 1 0 1 1 0 0 0 0 0 0 1 1 1 0 2 0 0 0 0]
7,Explanation,1,7,3.25,0.0047092437744140625,0.03887200355529785,None,1,[0 0 1 0 1 1 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0]
8,Explanation,1,8,0.75,0.0045549869537353516,0.0434269905090332,None,1,[0 2 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0]
9,Explanation,1,9,0.5,0.004568576812744141,0.047995567321777344,None,1,[0 2 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0]
10,Explanation,1,11,0.25,0.004400968551635742,0.052396535873413086,0,1,[0 2 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0]
