#iteration,algo,#panel,#suggestion,distances,iteration_time,total_time,target_found,#generations,panel
0,NewPanel,1,0,4.25/4.0,0.021229028701782227,0.021229028701782227,None,1,[1 0 1 1 1 1 2 0 0 0 0 0 0 1 1 1 1]
1,Egreedy,1,1,4.0/3.75,0.014119386672973633,0.03534841537475586,None,1,[1 0 1 0 1 1 2 0 0 0 0 0 0 1 1 1 1]
2,Egreedy,1,2,3.75/3.5,0.01632380485534668,0.05167222023010254,None,2,[1 0 0 0 1 1 2 0 0 0 0 0 0 1 1 1 1]
3,Egreedy,1,3,2.75/3.0,0.022563457489013672,0.07423567771911621,None,1,[1 0 0 0 1 1 0 0 0 0 0 0 2 0 0 0 0]
4,Egreedy,1,5,0.25/2.5,0.019767045974731445,0.09400272369384766,0,1,[1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
5,NewPanel,2,0,3.0,0.012588977813720703,0.10659170150756836,None,2,[1 0 1 1 1 1 0 1 1 1 1 2 0 1 1 1 1]
6,Egreedy,2,1,2.75,0.006514549255371094,0.11310625076293945,None,1,[1 0 1 1 1 1 0 1 1 1 1 2 0 0 1 1 1]
7,Egreedy,2,2,2.0,0.02385115623474121,0.13695740699768066,None,1,[1 0 1 1 1 1 0 0 1 1 0 2 0 0 0 1 1]
8,Egreedy,2,3,2.25,0.0051898956298828125,0.14214730262756348,None,1,[1 0 1 1 1 1 0 0 1 1 0 2 0 0 0 0 1]
9,Egreedy,2,4,2.5,0.004607677459716797,0.14675498008728027,None,1,[1 0 0 1 1 0 0 0 1 1 0 2 2 0 0 0 0]
10,Egreedy,2,5,2.25,0.004413604736328125,0.1511685848236084,None,1,[1 0 0 1 1 0 0 0 1 0 0 2 2 0 0 0 0]
11,Egreedy,2,6,2.75,0.042558908462524414,0.1937274932861328,None,10,[1 0 0 0 0 0 2 0 0 0 0 0 0 1 0 0 0]
12,Egreedy,2,7,2.75,0.016988754272460938,0.21071624755859375,None,4,[1 0 0 0 1 0 2 0 0 0 0 0 0 0 0 0 0]
13,Egreedy,2,8,3.5,0.019359350204467773,0.23007559776306152,None,4,[0 0 0 0 1 0 2 0 0 0 0 0 2 0 0 0 0]
14,Egreedy,2,9,2.75,0.023003101348876953,0.2530786991119385,None,1,[0 0 0 0 1 0 2 0 0 0 0 0 0 0 0 0 1]
15,Egreedy,2,10,2.5,0.02580714225769043,0.2788858413696289,None,1,[0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1]
16,Egreedy,2,11,1.75,0.14373087882995605,0.42261672019958496,None,14,[1 0 0 0 0 0 0 0 0 1 0 2 2 0 0 0 0]
17,Egreedy,2,12,1.0,0.030929088592529297,0.45354580879211426,None,3,[1 0 1 0 0 0 0 0 0 1 0 2 0 0 0 0 0]
18,Egreedy,2,13,2.5,0.03320932388305664,0.4867551326751709,None,3,[0 2 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0]
19,Egreedy,2,14,2.5,0.10820770263671875,0.5949628353118896,None,4,[0 0 0 0 0 0 0 0 0 1 0 0 2 0 0 0 0]
20,Egreedy,2,15,2.75,0.030204296112060547,0.6251671314239502,None,6,[1 0 0 0 1 0 0 0 0 0 0 0 2 0 0 0 0]
21,Egreedy,2,16,2.5,0.02254509925842285,0.647712230682373,None,6,[0 2 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0]
