#iteration,algo,#panel,#suggestion,distances,iteration_time,total_time,target_found,#generations,panel,si,ni
0,NewPanel,1,0,6.5/5.75,0.015726804733276367,0.015726804733276367,None,1,[0 0 1 1 1 1 2 0 0 0 0 0 0 1 1 1 1 0 1 1 1 1 0 1 1 1 1],[1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1.]
1,Egreedy,1,1,6.25/5.5,0.010785579681396484,0.02651238441467285,None,1,[0 0 1 1 1 1 2 0 0 0 0 0 0 1 1 1 1 0 0 1 1 1 0 1 1 1 1],[1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1.]
2,Egreedy,1,2,5.25/5.0,0.013575315475463867,0.04008769989013672,None,3,[1 0 1 1 1 1 2 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 1 1 1 1],[1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1.]
3,Egreedy,1,3,5.0/4.75,0.00994253158569336,0.05003023147583008,None,1,[1 0 0 1 1 1 2 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 1 1 1 1],[1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1.]
4,Egreedy,1,4,4.75/4.5,0.009926557540893555,0.05995678901672363,None,1,[1 0 0 1 1 1 2 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 1 1 1 1],[1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1.]
5,Egreedy,1,5,5.25/5.0,0.034493446350097656,0.09445023536682129,None,6,[1 0 0 0 0 0 2 0 0 0 0 0 0 1 1 1 1 0 1 1 1 1 0 1 1 1 1],[1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1.]
6,Egreedy,1,6,5.0/4.75,0.009987354278564453,0.10443758964538574,None,1,[1 0 0 0 0 0 2 0 0 0 0 0 0 1 1 1 1 0 1 1 0 1 0 1 1 1 1],[1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1.]
7,Egreedy,1,7,5.25/5.5,0.03200697898864746,0.1364445686340332,None,3,[1 0 0 0 1 0 2 0 0 0 0 0 2 0 0 0 0 0 1 1 0 1 0 1 1 1 1],[1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1.]
8,Egreedy,1,8,5.25/5.0,0.026915550231933594,0.1633601188659668,None,6,[1 0 1 1 1 1 2 0 0 0 0 0 0 1 1 1 1 0 1 1 1 1 0 0 0 0 0],[1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1.]
9,Egreedy,1,9,5.25/5.5,0.03964972496032715,0.20300984382629395,None,8,[1 0 1 1 1 1 2 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 1 1 1 1],[1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1.]
10,Egreedy,1,10,5.0/5.25,0.009998083114624023,0.21300792694091797,None,1,[1 0 1 1 1 1 2 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 1 1 1 1],[1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1.]
11,Egreedy,1,11,4.75/5.0,0.009827613830566406,0.22283554077148438,None,1,[1 0 0 1 1 1 2 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 1 1 1 1],[1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1.]
12,Egreedy,1,12,4.5/4.75,0.009790897369384766,0.23262643814086914,None,1,[1 0 0 0 1 1 2 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 1 1 1 1],[1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1.]
13,Egreedy,1,13,4.5/4.25,0.019636869430541992,0.25226330757141113,None,2,[1 0 0 0 1 0 2 0 0 0 0 0 0 0 0 1 0 0 1 1 1 0 0 1 1 1 1],[1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1.]
14,Egreedy,1,14,4.5/2.25,0.011059284210205078,0.2633225917816162,None,1,[1 0 0 0 1 0 0 0 0 0 0 2 0 0 0 1 0 0 1 1 1 0 0 1 1 1 1],[1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1.]
