#iteration,algo,#panel,#suggestion,distances,iteration_time,total_time,target_found,#generations,panel
0,NewPanel,1,0,6.5/5.75,0.051338911056518555,0.051338911056518555,None,1,[0 0 1 1 1 1 2 0 0 0 0 0 0 1 1 1 1 0 1 1 1 1 0 1 1 1 1]
1,Egreedy,1,1,6.25/5.5,0.007886409759521484,0.05922532081604004,None,1,[0 0 1 1 0 1 2 0 0 0 0 0 0 1 1 1 1 0 1 1 1 1 0 1 1 1 1]
2,Egreedy,1,2,7.25/4.5,0.02803492546081543,0.08726024627685547,None,4,[0 0 1 1 1 1 2 0 0 0 0 2 0 1 1 1 1 0 1 0 1 1 0 1 1 1 1]
3,Egreedy,1,3,7.0/4.25,0.0065402984619140625,0.09380054473876953,None,1,[0 0 1 1 1 1 2 0 0 0 0 2 0 1 1 1 1 0 1 0 1 0 0 1 1 1 1]
4,Egreedy,1,4,7.25/4.5,0.007150173187255859,0.10095071792602539,None,1,[0 0 1 1 1 1 2 0 0 0 0 2 0 1 1 1 1 2 0 0 0 0 0 1 0 1 1]
5,Egreedy,1,5,5.75/3.5,0.007624387741088867,0.10857510566711426,None,1,[0 0 1 1 0 1 0 0 0 1 0 2 0 1 0 0 1 2 0 0 0 0 0 1 0 1 1]
6,Egreedy,1,6,5.75/3.5,0.013478994369506836,0.1220541000366211,None,2,[0 0 1 1 0 1 0 0 1 1 0 2 0 1 0 0 1 2 0 0 0 0 0 0 0 1 1]
7,Egreedy,1,7,5.5/3.25,0.00658726692199707,0.12864136695861816,None,1,[0 0 0 1 0 1 0 0 1 1 0 2 0 1 0 0 1 2 0 0 0 0 0 0 0 1 1]
8,Egreedy,1,8,4.5/4.25,0.025298118591308594,0.15393948554992676,None,2,[0 0 0 1 0 1 0 0 1 1 0 0 0 1 0 0 1 2 0 0 0 0 0 0 0 1 1]
9,Egreedy,1,9,4.25/4.0,0.02994537353515625,0.183884859085083,None,5,[0 0 0 0 0 1 0 0 1 1 0 0 0 1 0 0 1 2 0 0 0 0 0 0 0 1 1]
10,Egreedy,1,10,4.25/4.0,0.012594223022460938,0.19647908210754395,None,2,[0 0 0 0 0 1 0 1 1 1 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 1 1]
11,Egreedy,1,11,5.0/4.75,0.012027263641357422,0.20850634574890137,None,2,[0 0 0 0 0 1 0 1 1 1 0 0 0 0 1 0 1 2 0 0 0 0 2 0 0 0 0]
12,Egreedy,1,12,6.25/4.0,0.02423715591430664,0.232743501663208,None,4,[0 0 1 0 0 1 0 1 1 1 0 2 0 1 1 0 0 2 0 0 0 0 2 0 0 0 0]
13,Egreedy,1,13,6.0/3.75,0.0060939788818359375,0.23883748054504395,None,1,[0 0 1 0 0 1 0 1 1 1 0 2 0 1 0 0 0 2 0 0 0 0 2 0 0 0 0]
14,Egreedy,1,14,5.25/3.0,0.03772258758544922,0.27656006813049316,None,6,[0 0 1 1 0 1 0 1 1 1 1 2 0 0 0 1 0 2 0 0 0 0 0 0 0 1 0]
15,Egreedy,1,15,4.75/3.0,0.030666112899780273,0.30722618103027344,None,3,[1 0 1 1 0 1 0 1 1 1 1 2 0 0 0 1 0 2 0 0 0 0 0 0 0 0 0]
16,Egreedy,1,16,4.25/4.5,0.025176286697387695,0.33240246772766113,None,4,[1 0 1 1 0 1 0 1 1 1 1 0 0 1 0 1 0 2 0 0 0 0 0 0 0 1 0]
17,Egreedy,1,17,2.5/4.75,0.006178379058837891,0.338580846786499,None,1,[1 2 0 0 0 0 0 1 1 1 1 0 0 1 0 1 0 2 0 0 0 0 0 0 0 1 0]
18,Egreedy,1,18,2.5/4.25,0.035538434982299805,0.37411928176879883,None,6,[0 2 0 0 0 0 0 0 1 1 1 0 0 1 0 1 0 2 0 0 0 0 0 0 0 1 0]
