#iteration,algo,#panel,#suggestion,distances,iteration_time,total_time,target_found,#generations,panel,si,ni
0,NewPanel,1,0,6.5/5.75,0.015511274337768555,0.015511274337768555,None,1,[0 0 1 1 1 1 2 0 0 0 0 0 0 1 1 1 1 0 1 1 1 1 0 1 1 1 1],[1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1.]
1,Explanation,1,1,6.25/5.5,0.014735698699951172,0.030246973037719727,None,1,[0 0 1 1 1 1 2 0 0 0 0 0 0 1 1 1 0 0 1 1 1 1 0 1 1 1 1],[1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1.]
2,Explanation,1,2,6.0/5.25,0.015007257461547852,0.04525423049926758,None,1,[0 0 1 1 1 1 2 0 0 0 0 0 0 1 1 1 0 0 1 1 1 1 0 0 1 1 1],[1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1.]
3,Explanation,1,3,5.75/5.0,0.014508724212646484,0.05976295471191406,None,1,[0 0 1 1 1 1 2 0 0 0 0 0 0 0 1 1 0 0 1 1 1 1 0 0 1 1 1],[1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1.]
4,Explanation,1,4,2.75/4.0,0.014841079711914062,0.07460403442382812,None,1,[0 2 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 1 1 1 0 0 1 1 1],[1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1.]
5,Explanation,1,5,2.5/3.75,0.013309001922607422,0.08791303634643555,None,1,[0 2 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 1 1 0 0 1 1 1],[1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1.]
6,Explanation,1,6,2.25/3.5,0.013697147369384766,0.10161018371582031,None,1,[0 2 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 1 1 0 0 0 1 1],[1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1.]
7,Explanation,1,7,2.0/3.25,0.013091802597045898,0.11470198631286621,None,1,[0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 1 1],[1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1.]
8,Explanation,1,8,1.75/3.5,0.013022899627685547,0.12772488594055176,None,1,[1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 1 1],[1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1.]
9,Explanation,1,9,1.5/3.25,0.012896537780761719,0.14062142372131348,None,1,[1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 1 1],[1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1.]
10,Explanation,1,10,1.25/3.5,0.013392925262451172,0.15401434898376465,None,1,[1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 1 1],[1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1.]
11,Explanation,1,11,1.0/3.25,0.012858152389526367,0.16687250137329102,None,1,[1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 1 0],[1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1.]
12,Explanation,1,12,0.75/3.0,0.012317419052124023,0.17918992042541504,None,1,[1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0],[1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1.]
13,Explanation,1,13,0.5/3.25,0.012543201446533203,0.19173312187194824,None,1,[1 2 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0],[1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1.]
14,Explanation,1,14,0.25/3.0,0.012824535369873047,0.2045576572418213,None,1,[1 2 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0],[1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1.]
15,Explanation,1,16,0.0/2.75,0.012484073638916016,0.2170417308807373,0,1,[1 2 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1.]
16,NewPanel,2,0,5.75,0.015933513641357422,0.23297524452209473,None,1,[0 0 1 1 1 1 0 1 1 1 1 0 2 0 0 0 0 0 1 1 1 1 0 1 1 1 1],[1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1.]
